id,name_en,text_en,name_ja,ruby,text_ja,type,frame_type,atk,def,level,race,attribute,scale,linkval,linkmarkers
73262676,"""A"" Cell Scatter Burst","Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",「Ａ」細胞散布爆弾,「エー」さいぼうさんぷばくだん,自分フィールド上の「エーリアン」と名のついたモンスター１体を選択して発動できる。選択した表側表示モンスターを破壊し、そのモンスターのレベルの数だけＡカウンターを相手フィールド上に表側表示で存在するモンスターに置く。,魔法,魔法,,,,速攻,,,,
64867422,"""Infernoble Arms - Hauteclere""","While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",『焔聖剣－オートクレール』,『えんせいけん－オートクレール』,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：このカードが装備されている場合、自分フィールドの表側表示モンスター１体を対象として発動できる。このターン、自分はそのモンスターでしか攻撃宣言できず、そのモンスターは１度のバトルフェイズ中に２回攻撃できる。その後、このカードを破壊する。②：装備モンスターが墓地へ送られた事でこのカードが墓地へ送られた場合、フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターを破壊する。,魔法,魔法,,,,装備,,,,
6850209,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",デーモンとの駆け引き,デーモンとのかけひき,レベル８以上の自分フィールド上のモンスターが墓地へ送られたターンに発動する事ができる。自分の手札またはデッキから「バーサーク・デッド・ドラゴン」１体を特殊召喚する。,魔法,魔法,,,,速攻,,,,
68170903,A Feint Plan,A player cannot attack face-down monsters during this turn.,陽動作戦,ようどうさくせん,このターン、お互いは裏側表示モンスターを攻撃できない。,罠,罠,,,,通常,,,,
21597117,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",ヒーロー見参,ヒーローけんざん,①：相手モンスターの攻撃宣言時に発動できる。自分の手札１枚を相手がランダムに選ぶ。それがモンスターだった場合、自分フィールドに特殊召喚し、違った場合は墓地へ送る。,罠,罠,,,,通常,,,,
65172015,A-to-Z-Dragon Buster Cannon,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""
Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",ＡｔｏＺ－ドラゴン・バスターキャノン,エートゥズィ－ドラゴン・バスターキャノン,"「ＡＢＣ－ドラゴン・バスター」＋「ＸＹＺ－ドラゴン・キャノン」
自分フィールドの、元々のカード名が上記のカードを除外した場合のみ特殊召喚できる。①：相手がモンスターの効果・魔法・罠カードを発動した時、手札を１枚捨てて発動できる。その発動を無効にし破壊する。②：自分・相手ターンに、フィールドのこのカードを除外し、自分の除外状態の「ＡＢＣ－ドラゴン・バスター」「ＸＹＺ－ドラゴン・キャノン」を１体ずつ対象として発動できる。そのモンスターを特殊召喚する。",融合モンスター,融合モンスター,4000.0,4000.0,10,機械族,光,,,
79015062,A.I. Connect,"Reveal 1 Cyberse monster in your hand; apply this effect based on its Attribute, also you cannot Special Summon for the rest of this turn after this card resolves, except Cyberse monsters.
● DARK: Special Summon the revealed monster, and if you do, add 1 Level 4 or lower non-DARK Cyberse monster from your Deck to your hand.
● Other: Shuffle the revealed monster into the Deck, and if you do, add 1 ""@Ignister"" monster with a different Attribute from your Deck to your hand.
You can only activate 1 ""A.I. Connect"" per turn.",繋がり－Ａｉ－,つながり－アイ－,"このカード名のカードは１ターンに１枚しか発動できない。①：手札のサイバース族モンスター１体を相手に見せて発動できる。見せたモンスターの属性によって以下の効果を適用する。このカードの発動後、ターン終了時まで自分はサイバース族モンスターしか特殊召喚できない。
●闇：見せたモンスターを特殊召喚し、デッキから闇属性以外でレベル４以下のサイバース族モンスター１体を手札に加える。
●闇以外：見せたモンスターをデッキに戻し、戻したモンスターとは属性が異なる「＠イグニスター」モンスター１体をデッキから手札に加える。",魔法,魔法,,,,通常,,,,
10493654,A.I. Contact,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck, and if you do, draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",Ａｉ－コンタクト,アイ－コンタクト,このカード名のカードは１ターンに１枚しか発動できない。①：自分のフィールドゾーンに「イグニスターＡｉランド」が存在する場合、手札の「イグニスターＡｉランド」１枚を相手に見せて発動できる。見せたカードをデッキの一番下に戻し、自分はデッキから３枚ドローする。,魔法,魔法,,,,通常,,,,
85327820,A.I.'s Ritual,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated, you can also use ""@Ignister"" monster(s) in your GY, by banishing them.",Ａｉの儀式,アイのぎしき,サイバース族の儀式モンスターの降臨に必要。①：レベルの合計が儀式召喚するモンスターのレベル以上になるように、自分の手札・フィールドの「＠イグニスター」モンスターをリリースし、手札からサイバース族の儀式モンスター１体を儀式召喚する。発動時に自分フィールドに「＠イグニスター」モンスターが存在する場合、自分の墓地の「＠イグニスター」モンスターもリリースの代わりに除外する事ができる。,魔法,魔法,,,,儀式,,,,
22933016,A.I.dle Reborn,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",Ａｉドリング・ボーン,アイドリング・ボーン,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分の墓地の「＠イグニスター」モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。このカードの発動後、ターン終了時まで自分はサイバース族モンスターしか特殊召喚できない。②：モンスター同士が戦闘を行う攻撃宣言時、墓地のこのカードと手札を１枚除外し、自分の墓地のカード及び除外されている自分のカードの中から、「Ａｉドリング・ボーン」以外の「Ａｉ」魔法・罠カード１枚を対象として発動できる。そのカードを手札に加える。,魔法,魔法,,,,速攻,,,,
